SK_ID_CURR;REGRESSÃO_LOGISTICA;RANDOM_FOREST;LGBM_PRED
149741;0.22553840669011765;0.14785811694472814;0.18550191334253238
363290;0.03384257468640357;0.052103526859781486;0.042619122090298577
436006;0.09490570232894216;0.11657662290800493;0.09306973617505965
377703;0.051528209954433475;0.06272621133171594;0.04615282332098156
188624;0.32139102563204164;0.1593447321390008;0.22986168273188046
454397;0.08958876304255681;0.07430777122095464;0.10226493418533218
358007;0.03585684429709414;0.052838909154136325;0.03282146068777811
140209;0.09344438121614491;0.1015214988995315;0.11519742237198753
234837;0.02122705481348032;0.04050258634768568;0.020701392148726492
269983;0.11382691480427393;0.0785348814598085;0.06876687704679828
435574;0.019204905904574302;0.05144243011997162;0.030726638818077932
299809;0.16796051707812826;0.12807139475377674;0.25756230341778713
386485;0.02689169697226068;0.09597396917167897;0.02802851705456039
269948;0.03139829110407062;0.05810399536185743;0.027916716561373515
280976;0.13614438051587618;0.12810301790678683;0.06206059944361735
238068;0.03738592561315776;0.06685126506908795;0.02799558480580215
304049;0.06148025401281577;0.06581445937142355;0.02592910774940084
414990;0.03503190372424265;0.06010846328970769;0.03334363215026803
217203;0.05372171794086961;0.06126382517339403;0.035663476924841044
376182;0.0042697694448241225;0.045874201730014955;0.005059049622019037
105944;0.0663127148652175;0.07056485861502658;0.06877006301037651
141357;0.033930304586381424;0.0727860374352849;0.036985421404447216
309630;0.019492085105649495;0.04718809656430993;0.02224098639767055
242368;0.0726171451370233;0.10633458071753582;0.051781818145027386
442101;0.06802044894490673;0.07057231707785226;0.083172293362209
398068;0.04614477359766164;0.05324949197291324;0.023522548010142474
200440;0.10812341030261281;0.11923123974402629;0.0923422903786424
130746;0.04978710057034947;0.05977357350634025;0.041397585150047336
391997;0.05276770197003756;0.049953217641336166;0.0750330778511917
290025;0.045031397658127345;0.06867165767129485;0.0347990244033627
343846;0.12896556557198863;0.07673816713961078;0.08287667191363142
126485;0.15516978590180122;0.09561567239762608;0.09412521716787141
104163;0.17343004624347846;0.16620291143253996;0.14533690069238223
362585;0.10410107477118373;0.12529748271393093;0.06970556394246419
208568;0.04750968853682035;0.060443469171238794;0.05012222472043939
223220;0.03361185732071714;0.054403267677902586;0.04432711399599551
115449;0.013804917561769202;0.04414581881212042;0.01251682697551186
157918;0.04686383856381289;0.057751820185952235;0.03735721828881897
235847;0.1165491885818018;0.13360418301876964;0.09311925222741813
424643;0.08386606367057195;0.09498381958574356;0.030855807781791797
260115;0.03872159050162365;0.03879787291214041;0.028968227454290653
101029;0.04275943407772532;0.09779813005173439;0.04427542997367876
209683;0.16424967520255573;0.0830887804250597;0.10370642978519816
332916;0.05880559911196291;0.06111874927504743;0.040611630730215204
170649;0.03749521674128506;0.06544385716167954;0.04209790657978293
148754;0.061267486938139604;0.07041002946023135;0.028502921748842933
322016;0.18247566041011584;0.11896078061362361;0.08677740056385333
410057;0.015396821038384976;0.043987142292651916;0.013805996653970046
400391;0.0954135344094679;0.09823472849713656;0.10443000158505034
303311;0.0753124283583698;0.09052182400732126;0.06970107218269447
306375;0.23007465474951963;0.159614465271576;0.18677015315584586
349106;0.052522971682563924;0.07453330320975039;0.04481880783719588
276461;0.041536144873896015;0.0499884810783599;0.040896347502138844
410126;0.04863729136426656;0.04502606432355799;0.0192747278964488
150037;0.29587876133061974;0.1254081178397021;0.1364546689501602
454632;0.1125316843127782;0.08895838581601742;0.08817716255968501
174402;0.3653807231915822;0.15845667436665167;0.2959550978412928
261588;0.08552681634426083;0.06568118791560253;0.04353943922061747
348830;0.03119518516952849;0.05306416729776713;0.04415531028655716
340159;0.06120662555783619;0.07594673620076645;0.06104933753718017
389531;0.08915338921162225;0.07155678978967174;0.07359926365559862
